id;Review;value
1;The hotel rooms were clean.;0
2;Most of the rooms are overlooking the pool which is a nice set up.;0
3;The rooms were adorable, clean and spacious.;0
4;The Hilton was perfect, very comfortable room;0
5;The rooms were well air conditioned, cleaned every day.;0
6;The hotel has generous room size with really comfortable bed.;0
7;The hotel seems to have been refurbished recently, rooms are nicely decorated.;0
8;Rooms are all unique and are to a high standard.;0
9;Rooms are located arround the nice pool.;0
10;Room was lovely and great shower.;0
11;Room well equipped and well decorated but little bit tight. ;0
12;The room was clean and comfortable.;0
13;Rooms are very clean and well appointed.;0
14;All the rooms surround the pool, in a lovely garden setting.;0
15;The rooms are very clean with everything to hand.;0
16;Our room overlooked the pool/gardens which was lovely and very quiet;0
17;Our room were silent.;0
18;The rooms are big and comfortable. ;0
19;The bed was very comfortable just the rooms a bit small for party of 4 best advise rent two rooms.;0
20;Rooms are a good size ;0
21;Room was very small at 18 square metres and possibly the smallest we have ever stayed in but it was spotlessly clean.;0
22;Room size was good comfortable and clean.;0
23;The rooms are well appointed, good double bed, lots of space, very clean and everything working and in good condition. ;0
24;Rooms kept to high standard.;0
25;The rooms and grounds are kept spotlessly clean.;0
26;The rooms area is located in the centre of the hotel with all the rooms built around the pool making it very private and quiet from the busy outside, towels are provided for the sun beds.;0
27;Hotel was nice enough to ensure we had quiet rooms so we were not kept awake all night. ;0
28;The rooms are spacious and clean and modern;0
29;The hotel its very nice, the rooms are big, modern and very clean.;0
30;The hotel rooms are very nice and pretty.;0
31;The rooms are comfortable with cooled Air Conditioner.;0
32;Hotel rooms has a nice sea view.;0
33;The room was perfect. The sheets, the toilet and the smell.. Everything was perfect to me! ;0
34;The whole hotel is spotless clean and room was also. ;0
35;The rooms were lovely and comfortable, with views over the city towards the castle.;0
36;Rooms serviced daily to highest standard. Really comfy large beds in pleasantly decorated rooms. Lovely bathrooms - the best showers!!;0
37;Our room had superb views across the town to the castle and sea. Spotlessly clean room.;0
38;We stayed in a deluxe double but I think we might have been upgraded (but I could be wrong) as the room was much better than what we anticipated, the room and bed were huge and I found it big enough for me and I'm 6ft 5. The bathroom was even better with a very powerful shower and wide deep bath. Every day the room was cleaned and was faultless.;0
39;Rooms are clean, spacious and comfortable.;0
40;Very comfortable rooms. Spotlessly kept, luxurious linen, big TV and discreet air conditioning. ;0
41;The room are very out of date.When we arrived in our room there was wine and water but no bottle opener or wine glasses. The shower is very old and there isn't even a mini fridge in the room.;0
42;They gave us a key that was bigger than my purse for our room and there is no key card system.;0
43;At first the safe in the room was not working.I was offered another room, but it was not as big and the view wasn't as nice. ;0
44;The rooms were very old fashioned and low quality.;0
45;Unfortunately the room was tired and a bit smelly.;0
46;The rooms are very unimpressive and look cheap with uncomfortable furniture.;0
47;The rooms are small and similar in design and comfort to other hotels who do not have five stars.;0
48;Standard of the rooms to be quite basic and cheaply decorated. The linen on the beds was something you might expect to find in a cheap hotel and the sofa bed that our daughter slept on was again uncomfortable and unacceptable.;0
49;The bathroom was outdated and the room was not very spacious.;0
50;Nice view, communal parts and rooms, but room a bit run down (broken AC, worn furniture and bathroom) and noisy.;0
51;Rooms are not so clean and towels you get every 3 days.;0
52;We are absolutely sorry to hear that our property did not meet your expectations, especially regarding the cleanless of your room.;0
53;The decor is extremely dated. Our room stunk of cigarettes even though it was supposed to be a non-smoking room. The sheets on the beds were dirty/sandy and rough. The wifi hardly worked. The A/C in the room barely cooled. ;0
54;The room and the furniture were very old and stinky. ;0
55;Furniture in the Rooms are very very old.;0
56;We got shown to our room which was 4 single beds put next to each other on a row this was the smallest room you could imagen not even big enough for a couple let alone for us.;0
57;Rooms ok but dated and poorly maintained and terrible WiFi. ;0
58;Design and furniture in the rooms are very old and not clean.;0
59;Rooms were dirty but very dirty ;0
60;The room wasn't serviced daily. Mini Bar was never stocked in our room.;0
61;The rooms had no bathrobes, flip-flops, dental kits and NO IRON in the rooms.;0
62;"In our room we never had internet and each time we called to ask them to fix it they reply by "" the techinician will check it"" and still no internet for 5 days.";0
63;The room was delivered dirty.;0
64;Every day they did not bother themselves to clean the room they only replaced the towels we put on the floor. It was terrible.;0
